ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
4520,Walls/Wallpaper,,Crimson Blister Wall,No,400,,,,,,,,,
4521,Walls/Wallpaper,,Layered Dirt Wall,No,400,,,,,,,,,
4522,Walls/Wallpaper,,Crumbling Dirt Wall,No,400,,,,,,,,,
4523,Walls/Wallpaper,,Cracked Dirt Wall,No,400,,,,,,,,,
4524,Walls/Wallpaper,,Wavy Dirt Wall,No,400,,,,,,,,,
4525,Walls/Wallpaper,,Hallowed Prism Wall,No,400,,,,,,,,,
4526,Walls/Wallpaper,,Hallowed Cavern Wall,No,400,,,,,,,,,
4527,Walls/Wallpaper,,Hallowed Shard Wall,No,400,,,,,,,,,
4528,Walls/Wallpaper,,Hallowed Crystalline Wall,No,400,,,,,,,,,
4529,Walls/Wallpaper,,Lichen Stone Wall,No,400,,,,,,,,,
4530,Walls/Wallpaper,,Leafy Jungle Wall,No,400,,,,,,,,,
4531,Walls/Wallpaper,,Ivy Stone Wall,No,400,,,,,,,,,
4532,Walls/Wallpaper,,Jungle Vine Wall,No,400,,,,,,,,,
4533,Walls/Wallpaper,,Ember Wall,No,400,,,,,,,,,
4534,Walls/Wallpaper,,Cinder Wall,No,400,,,,,,,,,
4535,Walls/Wallpaper,,Magma Wall,No,400,,,,,,,,,
4536,Walls/Wallpaper,,Smouldering Stone Wall,No,400,,,,,,,,,
4537,Walls/Wallpaper,,Worn Stone Wall,No,400,,,,,,,,,
4538,Walls/Wallpaper,,Stalactite Stone Wall,No,400,,,,,,,,,
4539,Walls/Wallpaper,,Mottled Stone Wall,No,400,,,,,,,,,
4540,Walls/Wallpaper,,Fractured Stone Wall,No,400,,,,,,,,,
4541,Banners (Event),,The Bride Banner,No,1,,,,,,,,,
4542,Banners (Event),,Zombie Merman Banner,No,1,,,,,,,,,
4543,Banners (Event),,Wandering Eye Fish Banner,No,1,,,,,,,,,
4544,Banners (Event),,Blood Squid Banner,No,1,,,,,,,,,
4545,Banners (Event),,Blood Eel Banner,No,1,,,,,,,,,
4546,Banners (Event),,Hemogoblin Shark Banner,No,1,,,,,,,,,
4547,Blocks,,Large Bamboo,No,100,,,,,,,,,
4548,Walls/Wallpaper,,Large Bamboo Wall,No,400,,,,,,,,,
4549,Vanity,,Demon Horns,No,1,,,,,,,,,
4550,Pets/Mounts,,Bamboo Leaf,No,1,,,,,,,,,
4551,Pets/Mounts,,Slice of Hell Cake,No,1,,,,,,,,,
4552,Furniture (Other),,Fog Machine,No,1,,,,,,,,,
4553,Lighting,,Plasma Lamp,No,1,,,,,,,,,
4554,Blocks,,Marble Column,No,50,,,,,,,,,
4555,Vanity,,Chef Hat,No,1,,,,,,,,,
4556,Vanity,,Chef Uniform,No,1,,,,,,,,,
4557,Vanity,,Chef Pants,No,1,,,,,,,,,
4558,Vanity,,Star Hairpin,No,1,,,,,,,,,
4559,Vanity,,Heart Hairpin,No,1,,,,,,,,,
4560,Vanity,,Bunny Ears,No,1,,,,,,,,,
4561,Vanity,,Devil Horns,No,1,,,,,,,,,
4562,Vanity,,Fedora,No,1,,,,,,,,,
4563,Vanity Accessories,,Fake Unicorn Horn,No,1,,,,,,,,,
4564,Blocks,,Bamboo,No,100,,,,,,,,,
4565,Walls/Wallpaper,,Bamboo Wall,No,400,,,,,,,,,
4566,Furniture (Sets),,Bamboo Bathtub,No,1,,,,,,,,,
4567,Furniture (Sets),,Bamboo Bed,No,1,,,,,,,,,
4568,Furniture (Sets),,Bamboo Bookcase,No,1,,,,,,,,,
4569,Furniture (Sets),,Bamboo Dresser,No,1,,,,,,,,,
4570,Lighting,,Bamboo Candelabra,No,1,,,,,,,,,
4571,Lighting,,Bamboo Candle,No,1,,,,,,,,,
4572,Furniture (Sets),,Bamboo Chair,No,1,,,,,,,,,
4573,Lighting,,Bamboo Chandelier,No,1,,,,,,,,,
4574,Chests/Crates,,Bamboo Chest,No,1,,,,,,,,,
4575,Furniture (Sets),,Bamboo Clock,No,1,,,,,,,,,
4576,Furniture (Sets),,Bamboo Door,No,1,,,,,,,,,
4577,Lighting,,Bamboo Lamp,No,1,,,,,,,,,
4578,Lighting,,Bamboo Lantern,No,1,,,,,,,,,
4579,Furniture (Sets),,Bamboo Piano,No,1,,,,,,,,,
4580,Platforms/Fencing,,Bamboo Platform,No,200,,,,,,,,,
4581,Furniture (Sets),,Bamboo Sink,No,1,,,,,,,,,
4582,Furniture (Sets),,Bamboo Sofa,No,1,,,,,,,,,
4583,Furniture (Sets),,Bamboo Table,No,1,,,,,,,,,
4584,Furniture (Sets),,Bamboo Work Bench,No,1,,,,,,,,,
4585,Mechanisms,,Trapped Bamboo Chest,No,1,,,,,,,,,
4586,Furniture (Sets),,Bamboo Toilet,No,1,,,,,,,,,
4587,Golf,,Worn Golf Club (Iron),No,1,,,,,,,,,
4588,Golf,,Worn Golf Club (Putter),No,1,,,,,,,,,
4589,Golf,,Worn Golf Club (Wedge),No,1,,,,,,,,,
4590,Golf,,Worn Golf Club (Driver),No,1,,,,,,,,,
4591,Golf,,Fancy Golf Club (Iron),No,1,,,,,,,,,
4592,Golf,,Fancy Golf Club (Putter),No,1,,,,,,,,,
4593,Golf,,Fancy Golf Club (Wedge),No,1,,,,,,,,,
4594,Golf,,Fancy Golf Club (Driver),No,1,,,,,,,,,
4595,Golf,,Premium Golf Club (Iron),No,1,,,,,,,,,
4596,Golf,,Premium Golf Club (Putter),No,1,,,,,,,,,
4597,Golf,,Premium Golf Club (Wedge),No,1,,,,,,,,,
4598,Golf,,Premium Golf Club (Driver),No,1,,,,,,,,,
4599,Golf,,Bronze Golf Trophy,No,1,,,,,,,,,
4600,Golf,,Silver Golf Trophy,No,1,,,,,,,,,
4601,Golf,,Gold Golf Trophy,No,1,,,,,,,,,
4602,Banners (Event),,Dreadnautilus Banner,No,1,,,,,,,,,
4603,Pets/Mounts,,Birdie Rattle,No,1,,,,,,,,,
4604,Pets/Mounts,,Exotic Chew Toy,No,1,,,,,,,,,
4605,Pets/Mounts,,Bedazzled Nectar,No,1,,,,,,,,,
4606,Music Boxes,,Music Box (Jungle Night),No,1,,,,,,,,,
4607,Weapons,,Desert Tiger Staff,No,1,,,,,,,,,
4608,Miscellaneous,,Chum Bucket,No,25,,,,,,,,,
4609,Furniture (Other),,Garden Gnome,No,1,,,,,,,,,
4610,Kites,,Bone Serpent Kite,No,1,,,,,,,,,
4611,Kites,,World Feeder Kite,No,1,,,,,,,,,
4612,Kites,,Bunny Kite,No,1,,,,,,,,,
4613,Kites,,Pigron Kite,No,1,,,,,,,,,
4614,Food,,Apple Juice,No,10,,,,,,,,,
4615,Food,,Grape Juice,No,10,,,,,,,,,
4616,Food,,Lemonade,No,10,,,,,,,,,
4617,Food,,Frozen Banana Daiquiri,No,10,,,,,,,,,
4618,Food,,Peach Sangria,No,10,,,,,,,,,
4619,Food,,Piña Colada,No,10,,,,,,,,,
4620,Food,,Tropical Smoothie,No,10,,,,,,,,,
4621,Food,,Bloody Moscato,No,10,,,,,,,,,
4622,Food,,Smoothie of Darkness,No,10,,,,,,,,,
4623,Food,,Prismatic Punch,No,10,,,,,,,,,
4624,Food,,Fruit Juice,No,10,,,,,,,,,
4625,Food,,Fruit Salad,No,10,,,,,,,,,
4626,Paintings,,Andrew Sphinx,No,1,,,,,,,,,
4627,Paintings,,Watchful Antlion,No,1,,,,,,,,,
4628,Paintings,,Burning Spirit,No,1,,,,,,,,,
4629,Paintings,,Jaws of Death,No,1,,,,,,,,,
4630,Paintings,,The Sands of Slime,No,1,,,,,,,,,
4631,Paintings,,"Snakes, I Hate Snakes",No,1,,,,,,,,,
4632,Paintings,,Life Above the Sand,No,1,,,,,,,,,
4633,Paintings,,Oasis,No,1,,,,,,,,,
4634,Paintings,,Prehistory Preserved,No,1,,,,,,,,,
4635,Paintings,,Ancient Tablet,No,1,,,,,,,,,
4636,Paintings,,Uluru,No,1,,,,,,,,,
4637,Paintings,,Visiting the Pyramids,No,1,,,,,,,,,
4638,Paintings,,Bandage Boy,No,1,,,,,,,,,
4639,Paintings,,Divine Eye,No,1,,,,,,,,,
4640,Blocks,,Amethyst Stone Block,No,100,,,,,,,,,
4641,Blocks,,Topaz Stone Block,No,100,,,,,,,,,
4642,Blocks,,Sapphire Stone Block,No,100,,,,,,,,,
4643,Blocks,,Emerald Stone Block,No,100,,,,,,,,,
4644,Blocks,,Ruby Stone Block,No,100,,,,,,,,,
4645,Blocks,,Diamond Stone Block,No,100,,,,,,,,,
4646,Blocks,,Amber Stone Block,No,100,,,,,,,,,
4647,Walls/Wallpaper,,Amber Stone Wall,No,400,,,,,,,,,
4648,Kites,,Man Eater Kite,No,1,,,,,,,,,
4649,Kites,,Blue Jellyfish Kite,No,1,,,,,,,,,
4650,Kites,,Pink Jellyfish Kite,No,1,,,,,,,,,
4651,Kites,,Shark Kite,No,1,,,,,,,,,
4652,Vanity,,Superhero Mask,No,1,,,,,,,,,
4653,Vanity,,Superhero Costume,No,1,,,,,,,,,
4654,Vanity,,Superhero Tights,No,1,,,,,,,,,
4655,Critters,,Pink Fairy Jar,No,1,,,,,,,,,
4656,Critters,,Green Fairy Jar,No,1,,,,,,,,,
4657,Critters,,Blue Fairy Jar,No,1,,,,,,,,,
4658,Paintings,,The Rolling Greens,No,1,,,,,,,,,
4659,Paintings,,Study of a Ball at Rest,No,1,,,,,,,,,
4660,Paintings,,Fore!,No,1,,,,,,,,,
4661,Paintings,,The Duplicity of Reflections,No,1,,,,,,,,,
4662,Dyes,,Fogbound Dye,No,3,,,,,,,,,
4663,Dyes,,Bloodbath Dye,No,3,,,,,,,,,
4664,Vanity,,Pretty Pink Dress,No,1,,,,,,,,,
4665,Vanity,,Pretty Pink Stockings,No,1,,,,,,,,,
4666,Vanity,,Pretty Pink Ribbon,No,1,,,,,,,,,
4667,Platforms/Fencing,,Bamboo Fence,No,400,,,,,,,,,
4668,Paint,,Illuminant Coating,No,100,,,,,,,,,
4669,Kites,,Sand Shark Kite,No,1,,,,,,,,,
4670,Kites,,Corrupt Bunny Kite,No,1,,,,,,,,,
4671,Kites,,Vicious Bunny Kite,No,1,,,,,,,,,
4672,Weapons,,Leather Whip,No,1,,,,,,,,,
4673,Miscellaneous,,Drumstick,No,1,,,,,,,,,
4674,Kites,,Goldfish Kite,No,1,,,,,,,,,
4675,Kites,,Angry Trapper Kite,No,1,,,,,,,,,
4676,Kites,,Koi Kite,No,1,,,,,,,,,
4677,Kites,,Crawltipede Kite,No,1,,,,,,,,,
4678,Weapons,,Durendal,No,1,,,,,,,,,
4679,Weapons,,Morning Star,No,1,,,,,,,,,
4680,Weapons,,Dark Harvest,No,1,,,,,,,,,
4681,Kites,,Spectrum Kite,No,1,,,,,,,,,
4682,Miscellaneous,,Release Doves,No,5,,,,,,,,,
4683,Kites,,Wandering Eye Kite,No,1,,,,,,,,,
4684,Kites,,Unicorn Kite,No,1,,,,,,,,,
4685,Vanity,,Gravedigger Hat,No,1,,,,,,,,,
4686,Vanity,,Gravedigger Coat,No,1,,,,,,,,,
4687,Banners (Enemy),,Angry Dandelion Banner,No,1,,,,,,,,,
4688,Banners (Enemy),,Gnome Banner,No,1,,,,,,,,,
4689,Lighting,,Desert Campfire,No,1,,,,,,,,,
4690,Lighting,,Coral Campfire,No,1,,,,,,,,,
4691,Lighting,,Corrupt Campfire,No,1,,,,,,,,,
4692,Lighting,,Crimson Campfire,No,1,,,,,,,,,
4693,Lighting,,Hallowed Campfire,No,1,,,,,,,,,
4694,Lighting,,Jungle Campfire,No,1,,,,,,,,,
4695,Lighting,,Soul of Light in a Bottle,No,1,,,,,,,,,
4696,Lighting,,Soul of Night in a Bottle,No,1,,,,,,,,,
4697,Lighting,,Soul of Flight in a Bottle,No,1,,,,,,,,,
4698,Lighting,,Soul of Sight in a Bottle,No,1,,,,,,,,,
4699,Lighting,,Soul of Might in a Bottle,No,1,,,,,,,,,
4700,Lighting,,Soul of Fright in a Bottle,No,1,,,,,,,,,
4701,Pets/Mounts,,Mud Bud,No,1,,,,,,,,,
4702,Miscellaneous,,Release Lantern,No,5,,,,,,,,,
4703,Weapons,,Quad-Barrel Shotgun,No,1,,,,,,,,,
4704,Vanity,,Funeral Hat,No,1,,,,,,,,,
4705,Vanity,,Funeral Coat,No,1,,,,,,,,,
4706,Vanity,,Funeral Pants,No,1,,,,,,,,,
4707,Weapons,,Tragic Umbrella,No,1,,,,,,,,,
4708,Vanity,,Victorian Goth Hat,No,1,,,,,,,,,
4709,Vanity,,Victorian Goth Dress,No,1,,,,,,,,,
4710,Furniture (Other),,Tattered Wood Sign,No,1,,,,,,,,,
4711,Tools,,Gravedigger's Shovel,No,1,,,,,,,,,
4712,Chests/Crates,,Desert Chest,No,1,,,,,,,,,
4713,Mechanisms,,Trapped Desert Chest,No,1,,,,,,,,,
4714,Keys/Boss Summons,,Desert Key,No,1,,,,,,,,,
4715,Weapons,,Stellar Tune,No,1,,,,,,,,,
4716,Pets/Mounts,,Mollusk Whistle,No,1,,,,,,,,,
4717,Blocks,,Boreal Beam,No,50,,,,,,,,,
4718,Blocks,,Rich Mahogany Beam,No,50,,,,,,,,,
4719,Blocks,,Granite Column,No,50,,,,,,,,,
4720,Blocks,,Sandstone Column,No,50,,,,,,,,,
4721,Blocks,,Mushroom Beam,No,50,,,,,,,,,
4723,Paintings,,Nevermore,No,1,,,,,,,,,
4724,Paintings,,Reborn,No,1,,,,,,,,,
4725,Paintings,,Graveyard,No,1,,,,,,,,,
4726,Paintings,,Ghost Manifestation,No,1,,,,,,,,,
4727,Paintings,,Wicked Undead,No,1,,,,,,,,,
4728,Paintings,,Bloody Goblet,No,1,,,,,,,,,
4729,Paintings,,Still Life,No,1,,,,,,,,,
4730,Wings,,Ghostar's Infinity Eight,No,1,,,,,,,,,
4731,Furniture (Sets),,Terra Toilet,No,1,,,,,,,,,
4732,Vanity (Developer),,Ghostar's Soul Jar,No,1,,,,,,,,,
4733,Vanity (Developer),,Ghostar's Garb,No,1,,,,,,,,,
4734,Vanity (Developer),,Ghostar's Tights,No,1,,,,,,,,,
4735,Pets/Mounts,,Ball O' Fuse Wire,No,1,,,,,,,,,
4736,Pets/Mounts,,Full Moon Squeaky Toy,No,1,,,,,,,,,
4737,Pets/Mounts,,Ornate Shadow Key,No,1,,,,,,,,,
4738,Vanity,,Dr. Man Fly Mask,No,1,,,,,,,,,
4739,Vanity,,Dr. Man Fly's Lab Coat,No,1,,,,,,,,,
4740,Vanity,,Butcher Mask,No,1,,,,,,,,,
4741,Vanity,,Butcher's Bloodstained Apron,No,1,,,,,,,,,
4742,Vanity,,Butcher's Bloodstained Pants,No,1,,,,,,,,,
4743,Miscellaneous,,Football,No,1,,,,,,,,,
4744,Vanity Accessories,,Hunter Cloak,No,1,,,,,,,,,
4745,Minecarts,,Coffin Minecart,No,1,,,,,,,,,
4746,Wings,,Safeman's Blanket Cape,No,1,,,,,,,,,
4747,Vanity (Developer),,Safeman's Sunny Day,No,1,,,,,,,,,
4748,Vanity (Developer),,Safeman's Sun Dress,No,1,,,,,,,,,
4749,Vanity (Developer),,Safeman's Pink Leggings,No,1,,,,,,,,,
4750,Wings,,FoodBarbarian's Tattered Dragon Wings,No,1,,,,,,,,,
4751,Vanity (Developer),,FoodBarbarian's Horned Helm,No,1,,,,,,,,,
4752,Vanity (Developer),,FoodBarbarian's Wild Wolf Spaulders,No,1,,,,,,,,,
4753,Vanity (Developer),,FoodBarbarian's Savage Greaves,No,1,,,,,,,,,
4754,Wings,,Grox The Great's Wings,No,1,,,,,,,,,
4755,Vanity (Developer),,Grox The Great's Horned Cowl,No,1,,,,,,,,,
4756,Vanity (Developer),,Grox The Great's Chestplate,No,1,,,,,,,,,
4757,Vanity (Developer),,Grox The Great's Greaves,No,1,,,,,,,,,
4758,Weapons,,Blade Staff,No,1,,,,,,,,,
4759,Tools,,Squirrel Hook,No,1,,,,,,,,,
4760,Weapons,,Sergeant United Shield,No,1,,,,,,,,,
4761,Vanity,,Rock Golem Head,No,1,,,,,,,,,
4762,Accessories,,Critter Shampoo,No,1,,,,,,,,,
4763,Minecarts,,Digging Molecart,No,1,,,,,,,,,
4764,Weapons,,Shroomerang,No,1,,,,,,,,,
4765,Miscellaneous,,Tree Globe,No,1,,,,,,,,,
4766,Miscellaneous,,World Globe,No,1,,,,,,,,,
4767,Accessories,,Guide To Critter Companionship,No,1,,,,,,,,,
4768,Vanity,,Dog Ears,No,1,,,,,,,,,
4769,Vanity Accessories,,Dog Tail,No,1,,,,,,,,,
4770,Vanity,,Fox Ears,No,1,,,,,,,,,
4771,Vanity Accessories,,Fox Tail,No,1,,,,,,,,,
4772,Vanity,,Lizard Ears,No,1,,,,,,,,,
4773,Vanity Accessories,,Lizard Tail,No,1,,,,,,,,,
4774,Vanity,,Panda Ears,No,1,,,,,,,,,
4775,Vanity Accessories,,Bunny Tail,No,1,,,,,,,,,
4776,Miscellaneous,,Fairy Glowstick,No,100,,,,,,,,,
4777,Pets/Mounts,,Lightning Carrot,No,1,,,,,,,,,
4778,Dyes,,Prismatic Dye,No,3,,,,,,,,,
4779,Vanity,,Mushroom Hat,No,1,,,,,,,,,
4780,Vanity,,Mushroom Vest,No,1,,,,,,,,,
4781,Vanity,,Mushroom Pants,No,1,,,,,,,,,
4782,Treasure Bags,,Treasure Bag (Empress of Light),No,3,,,,,,,,,
4783,Trophies,,Empress of Light Trophy,No,1,,,,,,,,,
4784,Vanity,,Empress of Light Mask,No,1,,,,,,,,,
4785,Pets/Mounts,,Dusty Rawhide Saddle,No,1,,,,,,,,,
4786,Pets/Mounts,,Royal Gilded Saddle,No,1,,,,,,,,,
4787,Pets/Mounts,,Black Studded Saddle,No,1,,,,,,,,,
4788,Weapons,,Jousting Lance,No,1,,,,,,,,,
4789,Weapons,,Shadow Jousting Lance,No,1,,,,,,,,,
4790,Weapons,,Hallowed Jousting Lance,No,1,,,,,,,,,
4791,Pets/Mounts,,Pogo Stick,No,1,,,,,,,,,
4792,Pets/Mounts,,The Black Spot,No,1,,,,,,,,,
4793,Pets/Mounts,,Hexxed Branch,No,1,,,,,,,,,
4794,Pets/Mounts,,Toy Tank,No,1,,,,,,,,,
4795,Pets/Mounts,,Goat Skull,No,1,,,,,,,,,
4796,Pets/Mounts,,Dark Mage's Tome,No,1,,,,,,,,,
4797,Pets/Mounts,,Royal Delight,No,1,,,,,,,,,
4798,Pets/Mounts,,Suspicious Grinning Eye,No,1,,,,,,,,,
4799,Pets/Mounts,,Writhing Remains,No,1,,,,,,,,,
4800,Pets/Mounts,,Brain in a Jar,No,1,,,,,,,,,
4801,Pets/Mounts,,Possessed Skull,No,1,,,,,,,,,
4802,Pets/Mounts,,Sparkling Honey,No,1,,,,,,,,,
4803,Pets/Mounts,,Deactivated Probe,No,1,,,,,,,,,
4804,Pets/Mounts,,Pair of Eyeballs,No,1,,,,,,,,,
4805,Pets/Mounts,,Robotic Skull,No,1,,,,,,,,,
4806,Pets/Mounts,,Plantera Seedling,No,1,,,,,,,,,
4807,Pets/Mounts,,Guardian Golem,No,1,,,,,,,,,
4808,Pets/Mounts,,Pork of the Sea,No,1,,,,,,,,,
4809,Pets/Mounts,,Tablet Fragment,No,1,,,,,,,,,
4810,Pets/Mounts,,Piece of Moon Squid,No,1,,,,,,,,,
4811,Pets/Mounts,,Jewel of Light,No,1,,,,,,,,,
4812,Pets/Mounts,,Pumpkin Scented Candle,No,1,,,,,,,,,
4813,Pets/Mounts,,Shrub Star,No,1,,,,,,,,,
4814,Pets/Mounts,,Frozen Crown,No,1,,,,,,,,,
4815,Pets/Mounts,,Cosmic Skateboard,No,1,,,,,,,,,
4816,Pets/Mounts,,Ogre's Club,No,1,,,,,,,,,
4817,Pets/Mounts,,Betsy's Egg,No,1,,,,,,,,,
4818,Weapons,,Combat Wrench,No,1,,,,,,,,,
4819,Tools,,Demon Conch,No,1,,,,,,,,,
4820,Tools,,Bottomless Lava Bucket,No,1,,,,,,,,,
4821,Tools,,Lavaproof Bug Net,No,1,,,,,,,,,
4822,Accessories,,Flame Waker Boots,No,1,,,,,,,,,
4823,Wings,,Empress Wings,No,1,,,,,,,,,
4824,Weapons (Thrown/Ammo),,Wet Bomb,No,99,,,,,,,,,
4825,Weapons (Thrown/Ammo),,Lava Bomb,No,99,,,,,,,,,
4826,Weapons (Thrown/Ammo),,Honey Bomb,No,99,,,,,,,,,
4827,Weapons (Thrown/Ammo),,Dry Bomb,No,99,,,,,,,,,
4828,Pets/Mounts,,Superheated Blood,No,1,,,,,,,,,
4829,Miscellaneous,,Cat License,No,1,,,,,,,,,
4830,Miscellaneous,,Dog License,No,1,,,,,,,,,
4831,Critters,,Amethyst Squirrel,No,5,,,,,,,,,
4832,Critters,,Topaz Squirrel,No,5,,,,,,,,,
4833,Critters,,Sapphire Squirrel,No,5,,,,,,,,,
4834,Critters,,Emerald Squirrel,No,5,,,,,,,,,
4835,Critters,,Ruby Squirrel,No,5,,,,,,,,,
4836,Critters,,Diamond Squirrel,No,5,,,,,,,,,
4837,Critters,,Amber Squirrel,No,5,,,,,,,,,
4838,Critters,,Amethyst Bunny,No,5,,,,,,,,,
4839,Critters,,Topaz Bunny,No,5,,,,,,,,,
4840,Critters,,Sapphire Bunny,No,5,,,,,,,,,
4841,Critters,,Emerald Bunny,No,5,,,,,,,,,
4842,Critters,,Ruby Bunny,No,5,,,,,,,,,
4843,Critters,,Diamond Bunny,No,5,,,,,,,,,
4844,Critters,,Amber Bunny,No,5,,,,,,,,,
4845,Critters,,Hell Butterfly,No,5,,,,,,,,,
4846,Critters,,Hell Butterfly Jar,No,1,,,,,,,,,
4847,Critters,,Lavafly,No,5,,,,,,,,,
4848,Critters,,Lavafly in a Bottle,No,1,,,,,,,,,
4849,Critters,,Magma Snail,No,5,,,,,,,,,
4850,Critters,,Magma Snail Cage,No,1,,,,,,,,,
4851,Plants,,Topaz Gemcorn,No,5,,,,,,,,,
4852,Plants,,Amethyst Gemcorn,No,5,,,,,,,,,
4853,Plants,,Sapphire Gemcorn,No,5,,,,,,,,,
4854,Plants,,Emerald Gemcorn,No,5,,,,,,,,,
4855,Plants,,Ruby Gemcorn,No,5,,,,,,,,,
4856,Plants,,Diamond Gemcorn,No,5,,,,,,,,,
4857,Plants,,Amber Gemcorn,No,5,,,,,,,,,
4858,Plants,,Hanging Pot,No,1,,,,,,,,,
4859,Plants,,Hanging Daybloom,No,1,,,,,,,,,
4860,Plants,,Hanging Moonglow,No,1,,,,,,,,,
4861,Plants,,Hanging Waterleaf,No,1,,,,,,,,,
4862,Plants,,Hanging Shiverthorn,No,1,,,,,,,,,
4863,Plants,,Hanging Blinkroot,No,1,,,,,,,,,
4864,Plants,,Hanging Corrupt Deathweed,No,1,,,,,,,,,
4865,Plants,,Hanging Crimson Deathweed,No,1,,,,,,,,,
4866,Plants,,Hanging Fireblossom,No,1,,,,,,,,,
4867,Lighting,,Hanging Brazier,No,1,,,,,,,,,
4868,Mechanisms,,Mini Volcano,No,1,,,,,,,,,
4869,Mechanisms,,Large Volcano,No,1,,,,,,,,,
4870,Potions,,Potion of Return,No,20,,,,,,,,,
4871,Plants,,Sakura Sapling,No,25,,,,,,,,,
4872,Tools,,Lava Absorbant Sponge,No,1,,,,,,,,,
4873,Armor,,Hallowed Hood,No,1,,,,,,,,,
4874,Accessories,,Hellfire Treads,No,1,,,,,,,,,
4875,Furniture (Other),,Jungle Pylon,No,1,,,,,,,,,
4876,Furniture (Other),,Forest Pylon,No,1,,,,,,,,,
4877,Chests/Crates,,Obsidian Crate,No,10,,,,,,,,,
4878,Chests/Crates,,Hellstone Crate,No,10,,,,,,,,,
4879,Miscellaneous,,Obsidian Lock Box,No,10,,,,,,,,,
4880,Critters,,Lava Serpent Bowl,No,1,,,,,,,,,
4881,Accessories,,Lavaproof Fishing Hook,No,1,,,,,,,,,
4882,Critters,,Amethyst Bunny Cage,No,1,,,,,,,,,
4883,Critters,,Topaz Bunny Cage,No,1,,,,,,,,,
4884,Critters,,Sapphire Bunny Cage,No,1,,,,,,,,,
4885,Critters,,Emerald Bunny Cage,No,1,,,,,,,,,
4886,Critters,,Ruby Bunny Cage,No,1,,,,,,,,,
4887,Critters,,Diamond Bunny Cage,No,1,,,,,,,,,
4888,Critters,,Amber Bunny Cage,No,1,,,,,,,,,
4889,Critters,,Amethyst Squirrel Cage,No,1,,,,,,,,,
4890,Critters,,Topaz Squirrel Cage,No,1,,,,,,,,,
4891,Critters,,Sapphire Squirrel Cage,No,1,,,,,,,,,
4892,Critters,,Emerald Squirrel Cage,No,1,,,,,,,,,
4893,Critters,,Ruby Squirrel Cage,No,1,,,,,,,,,
4894,Critters,,Diamond Squirrel Cage,No,1,,,,,,,,,
4895,Critters,,Amber Squirrel Cage,No,1,,,,,,,,,
4896,Armor,,Ancient Hallowed Mask,No,1,,,,,,,,,
4897,Armor,,Ancient Hallowed Helmet,No,1,,,,,,,,,
4898,Armor,,Ancient Hallowed Headgear,No,1,,,,,,,,,
4899,Armor,,Ancient Hallowed Hood,No,1,,,,,,,,,
4900,Armor,,Ancient Hallowed Plate Mail,No,1,,,,,,,,,
4901,Armor,,Ancient Hallowed Greaves,No,1,,,,,,,,,
4902,Plants,,Potted Magma Palm,No,1,,,,,,,,,
4903,Plants,,Potted Brimstone Bush,No,1,,,,,,,,,
4904,Plants,,Potted Fire Brambles,No,1,,,,,,,,,
4905,Plants,,Potted Lava Bulb,No,1,,,,,,,,,
4906,Plants,,Potted Ember Tendrils,No,1,,,,,,,,,
4907,Plants,,Yellow Willow Sapling,No,25,,,,,,,,,
4908,Weapons (Thrown/Ammo),,Dirt Bomb,No,99,,,,,,,,,
4909,Weapons (Thrown/Ammo),,Sticky Dirt Bomb,No,99,,,,,,,,,
4910,Miscellaneous,,Bunny License,No,1,,,,,,,,,
4911,Weapons,,Cool Whip,No,1,,,,,,,,,
4912,Weapons,,Firecracker,No,1,,,,,,,,,
4913,Weapons,,Snapthorn,No,1,,,,,,,,,
4914,Weapons,,Kaleidoscope,No,1,,,,,,,,,
4915,Weapons (Thrown/Ammo),,Tungsten Bullet,No,99,,,,,,,,,
4916,Furniture (Other),,Hallow Pylon,No,1,,,,,,,,,
4917,Furniture (Other),,Cavern Pylon,No,1,,,,,,,,,
4918,Furniture (Other),,Ocean Pylon,No,1,,,,,,,,,
4919,Furniture (Other),,Desert Pylon,No,1,,,,,,,,,
4920,Furniture (Other),,Snow Pylon,No,1,,,,,,,,,
4921,Furniture (Other),,Mushroom Pylon,No,1,,,,,,,,,
4922,Statues,,Cavern Water Fountain,No,1,,,,,,,,,
4923,Weapons,,Starlight,No,1,,,,,,,,,
4924,Trophies,,Eye of Cthulhu Relic,No,1,,,,,,,,,
4925,Trophies,,Eater of Worlds Relic,No,1,,,,,,,,,
4926,Trophies,,Brain of Cthulhu Relic,No,1,,,,,,,,,
4927,Trophies,,Skeletron Relic,No,1,,,,,,,,,
4928,Trophies,,Queen Bee Relic,No,1,,,,,,,,,
4929,Trophies,,King Slime Relic,No,1,,,,,,,,,
4930,Trophies,,Wall of Flesh Relic,No,1,,,,,,,,,
4931,Trophies,,Twins Relic,No,1,,,,,,,,,
4932,Trophies,,Destroyer Relic,No,1,,,,,,,,,
4933,Trophies,,Skeletron Prime Relic,No,1,,,,,,,,,
4934,Trophies,,Plantera Relic,No,1,,,,,,,,,
4935,Trophies,,Golem Relic,No,1,,,,,,,,,
4936,Trophies,,Duke Fishron Relic,No,1,,,,,,,,,
4937,Trophies,,Lunatic Cultist Relic,No,1,,,,,,,,,
4938,Trophies,,Moon Lord Relic,No,1,,,,,,,,,
4939,Trophies,,Martian Saucer Relic,No,1,,,,,,,,,
4940,Trophies,,Flying Dutchman Relic,No,1,,,,,,,,,
